sample_index,time_sec,marker_id,raw_distance,calib_distance,gyro_x,gyro_y,gyro_z,raw_path,calib_path
0,0.0,7,1.905,1.422,-0.1228,-0.0556,0.0157,frames/frame_0_0s_raw.jpg,frames/frame_0_0s_calib.jpg
1,0.5,7,1.91,1.431,-0.1228,-0.0556,0.0157,frames/frame_0_5s_raw.jpg,frames/frame_0_5s_calib.jpg
2,1.0,7,1.895,1.419,-0.1228,-0.0556,0.0157,frames/frame_1_0s_raw.jpg,frames/frame_1_0s_calib.jpg
3,1.5,7,1.891,1.404,0.0164,0.0019,-0.0227,frames/frame_1_5s_raw.jpg,frames/frame_1_5s_calib.jpg
4,2.0,7,1.885,1.4,0.0164,0.0019,-0.0227,frames/frame_2_0s_raw.jpg,frames/frame_2_0s_calib.jpg
5,2.5,7,1.888,1.397,0.0164,0.0019,-0.0227,frames/frame_2_5s_raw.jpg,frames/frame_2_5s_calib.jpg
6,3.0,7,1.846,1.364,0.1849,-0.0492,-0.0472,frames/frame_3_0s_raw.jpg,frames/frame_3_0s_calib.jpg
7,3.5,7,1.876,1.386,0.1849,-0.0492,-0.0472,frames/frame_3_5s_raw.jpg,frames/frame_3_5s_calib.jpg
8,4.0,7,1.865,1.369,0.1849,-0.0492,-0.0472,frames/frame_4_0s_raw.jpg,frames/frame_4_0s_calib.jpg
9,4.5,7,1.676,1.265,0.1849,-0.0492,-0.0472,frames/frame_4_5s_raw.jpg,frames/frame_4_5s_calib.jpg
10,5.0,7,1.638,1.247,-0.0902,0.1391,0.1242,frames/frame_5_0s_raw.jpg,frames/frame_5_0s_calib.jpg
11,5.5,7,1.576,1.202,-0.0902,0.1391,0.1242,frames/frame_5_5s_raw.jpg,frames/frame_5_5s_calib.jpg
12,6.0,7,1.243,0.968,-0.0902,0.1391,0.1242,frames/frame_6_0s_raw.jpg,frames/frame_6_0s_calib.jpg
13,6.5,7,1.226,0.958,-0.026,-0.1332,-0.0694,frames/frame_6_5s_raw.jpg,frames/frame_6_5s_calib.jpg
14,7.0,7,1.211,0.949,-0.026,-0.1332,-0.0694,frames/frame_7_0s_raw.jpg,frames/frame_7_0s_calib.jpg
15,7.5,7,1.031,0.821,-0.026,-0.1332,-0.0694,frames/frame_7_5s_raw.jpg,frames/frame_7_5s_calib.jpg
16,8.0,7,0.996,0.789,0.0437,0.3213,-0.0505,frames/frame_8_0s_raw.jpg,frames/frame_8_0s_calib.jpg
17,8.5,7,0.661,0.501,0.0437,0.3213,-0.0505,frames/frame_8_5s_raw.jpg,frames/frame_8_5s_calib.jpg
18,9.0,7,0.554,0.457,0.0437,0.3213,-0.0505,frames/frame_9_0s_raw.jpg,frames/frame_9_0s_calib.jpg
19,9.5,7,0.531,0.429,0.1449,0.331,0.0324,frames/frame_9_5s_raw.jpg,frames/frame_9_5s_calib.jpg
20,10.0,7,0.546,0.438,0.1449,0.331,0.0324,frames/frame_10_0s_raw.jpg,frames/frame_10_0s_calib.jpg
21,10.5,7,0.555,0.457,0.1449,0.331,0.0324,frames/frame_10_5s_raw.jpg,frames/frame_10_5s_calib.jpg
22,11.0,7,0.549,0.459,0.1449,0.331,0.0324,frames/frame_11_0s_raw.jpg,frames/frame_11_0s_calib.jpg
23,11.5,7,0.54,0.444,0.0362,-0.0159,-0.0654,frames/frame_11_5s_raw.jpg,frames/frame_11_5s_calib.jpg
